Band	Description
[1103.98, 1104.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1104.98, 1105.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1105.98, 1106.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1106.98, 1107.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1107.98, 1108.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1108.98, 1109.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1109.98, 1110.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1110.98, 1111.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1111.98, 1112.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1112.98, 1113.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1113.98, 1114.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1114.98, 1115.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1115.98, 1116.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1116.98, 1117.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1117.98, 1118.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1118.98, 1119.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1119.98, 1120.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1120.98, 1121.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1121.98, 1122.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1122.98, 1123.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1123.98, 1124.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1124.98, 1125.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1125.98, 1126.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1126.98, 1127.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1127.98, 1128.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1128.98, 1129.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1129.98, 1130.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1130.98, 1131.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1131.98, 1132.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1132.98, 1133.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1133.98, 1134.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1134.98, 1135.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1135.98, 1136.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1136.98, 1137.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1137.98, 1138.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1138.98, 1139.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1139.89, 1140.11] Hz 	Power Lines
[1139.98, 1140.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1140.98, 1141.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1141.98, 1142.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1142.98, 1143.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1143.98, 1144.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1144.98, 1145.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1145.98, 1146.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1146.98, 1147.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1147.98, 1148.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1148.98, 1149.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1149.89, 1150.11] Hz 	Power Lines
[1149.98, 1150.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1150.98, 1151.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1151.98, 1152.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1152.98, 1153.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1153.98, 1154.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1154.98, 1155.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1155.98, 1156.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1156.98, 1157.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1157.98, 1158.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1158.98, 1159.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1159.98, 1160.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1160.98, 1161.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1161.98, 1162.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1162.98, 1163.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1163.98, 1164.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1164.98, 1165.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1165.98, 1166.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1166.98, 1167.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1167.98, 1168.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1168.98, 1169.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1169.98, 1170.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1170.98, 1171.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1171.98, 1172.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1172.98, 1173.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1173.98, 1174.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1174.98, 1175.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1175.98, 1176.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1176.98, 1177.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1177.98, 1178.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1178.98, 1179.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1179.98, 1180.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1180.98, 1181.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1181.98, 1182.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1182.98, 1183.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1183.98, 1184.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1184.98, 1185.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1185.98, 1186.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1186.98, 1187.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1187.98, 1188.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1188.98, 1189.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1189.98, 1190.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1190.98, 1191.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1191.98, 1192.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1192.98, 1193.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1193.98, 1194.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1194.98, 1195.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1195.98, 1196.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1196.98, 1197.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1197.98, 1198.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1198.98, 1199.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1199.89, 1200.11] Hz 	Power Lines
[1199.89, 1200.11] Hz 	Power Lines
[1199.98, 1200.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1200.98, 1201.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1201.98, 1202.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1202.98, 1203.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1203.98, 1204.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1204.98, 1205.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1205.98, 1206.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1206.98, 1207.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1207.98, 1208.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1208.98, 1209.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1209.98, 1210.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1210.98, 1211.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1211.98, 1212.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1212.98, 1213.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1213.98, 1214.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1214.98, 1215.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1215.98, 1216.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1216.98, 1217.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1217.98, 1218.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1218.98, 1219.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1219.98, 1220.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1220.27, 1220.55] Hz 	Pulsar injection
[1220.98, 1221.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1221.98, 1222.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1222.98, 1223.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1223.98, 1224.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1224.98, 1225.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1225.98, 1226.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1226.98, 1227.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1227.98, 1228.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1228.98, 1229.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1229.98, 1230.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1230.98, 1231.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1231.98, 1232.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1232.98, 1233.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1233.98, 1234.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1234.98, 1235.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1235.98, 1236.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1236.98, 1237.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1237.98, 1238.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1238.98, 1239.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1239.98, 1240.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1240.98, 1241.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1241.98, 1242.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1242.98, 1243.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1243.98, 1244.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1244.98, 1245.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1245.98, 1246.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1246.98, 1247.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1247.98, 1248.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1248.98, 1249.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1249.89, 1250.11] Hz 	Power Lines
[1249.98, 1250.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1250.98, 1251.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1251.98, 1252.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1252.98, 1253.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1253.98, 1254.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1254.98, 1255.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1255.98, 1256.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1256.98, 1257.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1257.98, 1258.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1258.98, 1259.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1259.89, 1260.11] Hz 	Power Lines
[1259.98, 1260.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1260.98, 1261.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1261.98, 1262.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1262.98, 1263.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1263.98, 1264.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1264.98, 1265.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1265.98, 1266.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1266.98, 1267.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1267.98, 1268.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1268.98, 1269.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1269.98, 1270.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1270.98, 1271.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1271.98, 1272.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1272.98, 1273.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1273.98, 1274.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1274.98, 1275.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1275.98, 1276.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1276.98, 1277.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1277.98, 1278.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1278.98, 1279.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1279.98, 1280.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1280.98, 1281.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1281.98, 1282.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1282.98, 1283.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1283.98, 1284.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1284.98, 1285.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1285.98, 1286.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1286.98, 1287.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1287.98, 1288.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1288.98, 1289.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1289.98, 1290.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1290.98, 1291.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1291.98, 1292.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1292.98, 1293.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1293.98, 1294.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1294.98, 1295.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1295.98, 1296.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1296.98, 1297.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1297.98, 1298.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1298.98, 1299.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1299.89, 1300.11] Hz 	Power Lines
[1299.98, 1300.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1300.98, 1301.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1301.98, 1302.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1302.98, 1303.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1303.98, 1304.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1304.98, 1305.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1305.98, 1306.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1306.98, 1307.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1307.98, 1308.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1308.98, 1309.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1309.98, 1310.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1310.98, 1311.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1311.98, 1312.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1312.98, 1313.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1313.98, 1314.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1314.98, 1315.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1315.98, 1316.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1316.98, 1317.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1317.98, 1318.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1318.98, 1319.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1319.89, 1320.11] Hz 	Power Lines
[1319.98, 1320.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1320.98, 1321.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1321.98, 1322.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1322.98, 1323.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1323.98, 1324.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1324.98, 1325.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1325.98, 1326.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1326.98, 1327.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1327.98, 1328.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1328.98, 1329.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1329.98, 1330.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1330.98, 1331.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1331.98, 1332.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1332.98, 1333.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1333.98, 1334.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1334.98, 1335.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1335.98, 1336.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1336.98, 1337.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1337.98, 1338.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1338.98, 1339.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1339.98, 1340.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1340.98, 1341.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1341.98, 1342.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1325.48, 1360.52] Hz 	Violin mode 3rd harmonic
[1342.98, 1343.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1343.98, 1344.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1344.98, 1345.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1345.98, 1346.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1346.98, 1347.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1347.98, 1348.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1348.98, 1349.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1349.89, 1350.11] Hz 	Power Lines
[1349.98, 1350.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1350.98, 1351.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1351.98, 1352.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1352.98, 1353.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1353.98, 1354.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1354.98, 1355.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1355.98, 1356.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1356.98, 1357.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1357.98, 1358.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1358.98, 1359.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1359.98, 1360.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1360.98, 1361.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1361.98, 1362.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1362.98, 1363.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1363.98, 1364.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1364.98, 1365.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1365.98, 1366.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1366.98, 1367.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1367.98, 1368.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1368.98, 1369.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1369.98, 1370.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1370.98, 1371.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1371.98, 1372.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1372.98, 1373.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1373.98, 1374.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1374.98, 1375.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1375.98, 1376.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1376.98, 1377.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1377.98, 1378.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1378.98, 1379.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1379.89, 1380.11] Hz 	Power Lines
[1379.98, 1380.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1380.98, 1381.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1381.98, 1382.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1382.98, 1383.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1383.98, 1384.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1384.98, 1385.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1385.98, 1386.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1386.98, 1387.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1387.98, 1388.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1388.98, 1389.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1389.98, 1390.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1389.86, 1390.95] Hz 	Pulsar injection
[1390.98, 1391.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1391.98, 1392.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1392.98, 1393.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1393.98, 1394.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1394.98, 1395.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1395.98, 1396.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1396.98, 1397.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1397.98, 1398.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1398.98, 1399.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1399.89, 1400.11] Hz 	Power Lines
[1399.98, 1400.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1400.98, 1401.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1401.98, 1402.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1402.98, 1403.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1403.98, 1404.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1404.98, 1405.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1405.98, 1406.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1406.98, 1407.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1407.98, 1408.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1408.98, 1409.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1409.98, 1410.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1410.98, 1411.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1411.98, 1412.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1412.98, 1413.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1413.98, 1414.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1414.98, 1415.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1415.98, 1416.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1416.98, 1417.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1417.98, 1418.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1418.98, 1419.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1419.98, 1420.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1420.98, 1421.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1421.98, 1422.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1422.98, 1423.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1423.98, 1424.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1424.98, 1425.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1425.98, 1426.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1426.98, 1427.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1427.98, 1428.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1428.98, 1429.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1429.98, 1430.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1430.98, 1431.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1431.98, 1432.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1432.98, 1433.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1433.98, 1434.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1434.98, 1435.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1435.98, 1436.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1436.98, 1437.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1437.98, 1438.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1438.98, 1439.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1439.89, 1440.11] Hz 	Power Lines
[1439.98, 1440.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1440.98, 1441.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1441.98, 1442.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1442.98, 1443.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1443.98, 1444.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1444.98, 1445.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1445.98, 1446.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1446.98, 1447.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1447.98, 1448.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1448.98, 1449.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1449.89, 1450.11] Hz 	Power Lines
[1449.98, 1450.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1450.98, 1451.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1451.98, 1452.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1452.98, 1453.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1453.98, 1454.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1454.98, 1455.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1455.98, 1456.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1456.98, 1457.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1457.98, 1458.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1458.98, 1459.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1459.98, 1460.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1460.98, 1461.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1461.98, 1462.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1462.98, 1463.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1463.98, 1464.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1464.98, 1465.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1465.98, 1466.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1466.98, 1467.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1467.98, 1468.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1468.98, 1469.02] Hz 	Comb with fundamental freq 20 and spacing 1
[1469.98, 1470.02] Hz 	Comb with fundamental freq 20 and spacing 1
